datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,TPT Not Comp,904,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,Recent Active TB TX,36,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,Recent Pos TB Screen,11,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,Actively on TPT,193,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,TX_CURR,1279,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,TPT Candidates,664,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,TPT Ineligible,47,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,TPT Completed,202,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,TPT Not Comp,503,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,Recent Active TB TX,9,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,Recent Pos TB Screen,1,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,Actively on TPT,75,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,TX_CURR,705,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,TPT Candidates,418,Mocambique
JnsP1SLvvsw,2021-03-20,ECHO,Sofala,Chibabava,Chibabava-Sede CS,-20.29039,33.65675,TPT Ineligible,10,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,TPT Completed,294,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,TPT Not Comp,633,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,Recent Active TB TX,10,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,Recent Pos TB Screen,0,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,Actively on TPT,342,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,TX_CURR,927,Mocambique
YBG39jGSV17,2021-03-20,ECHO,Sofala,Chibabava,Mutindire CS,-20.32737,33.88577,TPT Candidates,281,Mocambique
